"Title","Date"
"EU, 선거·의료정보에 AI 사용 규제 … 학습데이터는 투명 공개"," 매일경제언론사 선정A3면 TOP2023.12.10.네이버뉴스 "
"생체정보 무단수집 벌금 500억원… EU, 세계 첫 ‘AI 법’ 합의 [뉴스 투..."," 세계일보언론사 선정A2면 1단2023.12.10.네이버뉴스 "
"이종호 “우주항공청·AI법 통과 늦어지면 韓국제경쟁력 훼손”"," 문화일보16면 TOP2023.12.26.네이버뉴스 "
"달빛철도 특별법·광주AI영재고 등 지역현안 국회처리 지연"," 연합뉴스2023.12.20.네이버뉴스 "
"이용빈 의원, 광주 AI영재고 설립법안 국민의힘 발목 잡아"," 프라임경제2023.12.20. "
"김주하 AI 앵커가 전하는 주요뉴스"," MBN2023.12.27.네이버뉴스 "
"[국민의 기업] “창작자 권리 보호하고 AI 산업이 발전할 수 있는 계기가..."," 중앙일보C5면 1단2023.12.21.네이버뉴스 "
"[손병채의 센스메이킹]〈27〉생성AI의 2023년, 이후의 인간의 의미"," 전자신문26면 3단2023.12.25.네이버뉴스 "
"[뉴스1 선정 국내 10대뉴스] 전세사기·흉기난동 '공분'…한미일 동맹·..."," 뉴스1언론사 선정2023.12.18.네이버뉴스 "
"EU, 세계 최초 'AI 규제법' 합의…안면 인식 등 엄격 통제키로"," SBS2023.12.09.네이버뉴스 "
"[국민의 기업] “창작자 권리 보호하고 AI 산업이 발전할 수 있는 계기가..."," 중앙일보C5면 1단2023.12.21.네이버뉴스 "
"[손병채의 센스메이킹]〈27〉생성AI의 2023년, 이후의 인간의 의미"," 전자신문26면 3단2023.12.25.네이버뉴스 "
"[뉴스1 선정 국내 10대뉴스] 전세사기·흉기난동 '공분'…한미일 동맹·..."," 뉴스1언론사 선정2023.12.18.네이버뉴스 "
"女정치인 보조금 세분화·성범죄자 배달 금지 등 법안 130여건 통과"," 서울신문언론사 선정5면 1단2023.12.21.네이버뉴스 "
"이용빈 의원, '광주 AI영재고 설립' 법안 연내 국회 통과 촉구"," 남도일보2023.12.20. "
"美·英, MS·오픈AI 반독점 위반 조사"," 매일경제언론사 선정A3면 1단2023.12.10.네이버뉴스 "
"EU, 세계 첫 'AI 규제법' 제정 논의 재개"," 지디넷코리아언론사 선정2023.12.08.네이버뉴스 "
"EU, 세계 최초 ‘AI 규제법’ 합의… 안면인식 등 통제"," 국민일보14면 1단2023.12.11.네이버뉴스 "
"EU, 세계 최초로 AI 규제법 합의…어기면 벌금 ‘500억’"," KBS언론사 선정2023.12.09.네이버뉴스 "
"EU, 세계 첫 'AI 규제법' 제정 논의 재개"," 지디넷코리아언론사 선정2023.12.08.네이버뉴스 "
"EU, 세계 최초 ‘AI 규제법’ 합의… 안면인식 등 통제"," 국민일보14면 1단2023.12.11.네이버뉴스 "
"EU, 세계 최초로 AI 규제법 합의…어기면 벌금 ‘500억’"," KBS언론사 선정2023.12.09.네이버뉴스 "
"EU, 세계 최초로 'AI규제법' 합의"," 서울경제10면 9단2023.12.10.네이버뉴스 "
"""AI 시대, 실질적인 개인정보 가이드라인 필요""…스타트업 한목소리"," 디지털데일리2023.12.21.네이버뉴스 "
"“AI지도로 北 상황도 파악”… AI서 기후·식량 해법 찾는 美스타트업..."," 동아일보A28면 TOP2023.12.20.네이버뉴스 "
"치명적인 AI 법안... 이러다가 한국만 고립되게 생겼다 [소셜 코리아]"," 오마이뉴스언론사 선정2023.12.08.네이버뉴스 "
"EU ""학교 AI 감정인식 금지"" 법안제정, 한국 교육부는?"," 오마이뉴스2023.12.13.네이버뉴스 "
"[2023 산업계 결산] ""AI열풍불고 물가안정 사활···글로벌 불확실성 지..."," 에너지경제2023.12.28. "
"이용빈 “‘광주 AI영재고 설립법’ 국회 통과 촉구”"," 전남매일2023.12.21. "
"EU ""학교 AI 감정인식 금지"" 법안제정, 한국 교육부는?"," 오마이뉴스2023.12.13.네이버뉴스 "
"[2023 산업계 결산] ""AI열풍불고 물가안정 사활···글로벌 불확실성 지..."," 에너지경제2023.12.28. "
"이용빈 “‘광주 AI영재고 설립법’ 국회 통과 촉구”"," 전남매일2023.12.21. "
"'윤석열 공약' 이용빈 의원 ""광주 AI영재고, 설립법안 연내 국회통과해..."," 퍼블릭뉴스2023.12.20. "
"여성정치발전비 구체화·딥페이크 선거 규제 등 법안 130건 본회의 통과"," 서울신문언론사 선정2023.12.20.네이버뉴스 "
"[박상오 변호사의 콘텐츠(Content) 법률 산책] EU의 'AI 규제법' 도입을 ..."," 메트로신문2023.12.24. "
"미국, AI 유엔 결의 추진…""인류 전체 위해 선량하게 쓰자"""," 연합뉴스2023.12.14.네이버뉴스 "
"EU, 세계 최초 'AI 규제법' 합의… 안면 인식 등 엄격 통제"," 한국일보2023.12.09.네이버뉴스 "
"AI 의료기기 다루는 '디지털의료제품법' 국회 본회의 통과"," 한국경제TV2023.12.20.네이버뉴스 "
"""세계 첫 AI 규제법 합의 임박""…EU, 어떤 내용 담나"," 아시아경제언론사 선정2023.12.07.네이버뉴스 "
"""세계 첫 AI 규제법 합의 임박""…EU, 어떤 내용 담나"," 아시아경제언론사 선정2023.12.07.네이버뉴스 "
"국가 간 통상마찰 우려…글로벌 AI기업 비용 부담"," 이데일리언론사 선정A6면 3단2023.12.11.네이버뉴스 "
"EU, 세계 최초 'AI 규제법' 합의…안면인식 등 엄격 통제"," SBS Biz2023.12.09.네이버뉴스 "
"英 음란물 연령확인에 AI 안면인식 도입…EU와 정반대 행보"," 뉴스1언론사 선정2023.12.09.네이버뉴스 "
